2019-12-18 10:46:48.462137 Level 1, score: 50
2019-12-18 10:47:08.651717 Level 1, score: 50
2019-12-18 10:47:45.306734 Level 1, score: 50
2019-12-18 10:56:10.858454 Level 1, score: 50
2019-12-18 11:01:08.838796 Level 1, score: 50
2019-12-18 11:05:26.561630 Level 1, score: 50
2019-12-18 11:05:41.426879 Level 3, score: 50
2019-12-18 11:06:58.287792 Level 3, score: 50
2019-12-18 11:07:03.658431 Level 2, score: 50
2019-12-18 11:09:15.388600 Level 1, score: 50
2019-12-18 11:09:22.611862 Level 3, score: 50
2019-12-18 11:09:44.653312 Level 2, score: 50
2019-12-18 11:10:40.196397 Level 3, score: 50
2019-12-18 11:11:01.271045 Level 1, score: 50
2019-12-18 11:13:03.187034 Level 3, score: 50
2019-12-18 11:15:59.109609 Level 2, score: 50
2019-12-18 11:16:17.125433 Level 3, score: 50
2019-12-18 11:17:32.531793 Level 3, score: 50
2019-12-18 11:29:30.362281 Level 3, score: 50
2019-12-18 11:31:09.254838 Level 3, score: 50
2019-12-18 11:44:10.508733 Level 3, score: 50
2019-12-18 11:46:32.438207 Level 3, score: 16
2019-12-18 11:56:37.624069 Level 1, score: 22
